epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,68.0932,0.34427,0.54357,0.76039,0.7083,0.76441,0.80099,0.54388,0.92997,1.04815,0.93251,0.000604,0.000604,0.000604
62,69.1111,0.3412,0.53056,0.75897,0.7083,0.76441,0.80099,0.54388,0.92997,1.04815,0.93251,0.0005974,0.0005974,0.0005974
63,70.1274,0.33821,0.53587,0.75951,0.71817,0.76013,0.80328,0.54421,0.87887,1.01754,0.91327,0.0005908,0.0005908,0.0005908
64,71.135,0.32988,0.53398,0.75525,0.72346,0.77573,0.8575,0.5902,0.83435,0.99666,0.89741,0.0005842,0.0005842,0.0005842
65,72.1419,0.3337,0.51723,0.75507,0.72346,0.77573,0.8575,0.5902,0.83435,0.99666,0.89741,0.0005776,0.0005776,0.0005776
66,73.1899,0.34944,0.53957,0.76025,0.72146,0.76165,0.8445,0.57934,0.85394,0.99961,0.90203,0.000571,0.000571,0.000571
67,74.1928,0.31585,0.49968,0.754,0.73637,0.76864,0.83457,0.56458,0.92642,1.02898,0.92578,0.0005644,0.0005644,0.0005644
68,75.1806,0.31804,0.48591,0.75129,0.73637,0.76864,0.83457,0.56458,0.92642,1.02898,0.92578,0.0005578,0.0005578,0.0005578
69,76.2018,0.31783,0.48679,0.75275,0.72042,0.7662,0.8018,0.53885,0.96236,1.05541,0.93777,0.0005512,0.0005512,0.0005512
70,77.2359,0.33329,0.49849,0.75616,0.71489,0.76619,0.80637,0.54175,0.9235,1.04783,0.92151,0.0005446,0.0005446,0.0005446
71,78.2318,0.29342,0.47206,0.74804,0.71489,0.76619,0.80637,0.54175,0.9235,1.04783,0.92151,0.000538,0.000538,0.000538
72,79.2422,0.29748,0.47883,0.74732,0.63392,0.82473,0.81678,0.55368,0.88387,1.01924,0.90852,0.0005314,0.0005314,0.0005314
73,80.2447,0.32396,0.48182,0.75496,0.72806,0.78281,0.8108,0.55877,0.88653,1.0102,0.90834,0.0005248,0.0005248,0.0005248
74,81.2338,0.287,0.44373,0.74845,0.72806,0.78281,0.8108,0.55877,0.88653,1.0102,0.90834,0.0005182,0.0005182,0.0005182
75,82.2331,0.27973,0.44075,0.74832,0.62761,0.81421,0.80497,0.54716,0.91669,1.0186,0.91946,0.0005116,0.0005116,0.0005116
76,83.2296,0.27349,0.43804,0.74421,0.60427,0.80583,0.80208,0.54761,0.92452,1.01114,0.92298,0.000505,0.000505,0.000505
77,84.2115,0.28836,0.43237,0.74627,0.60427,0.80583,0.80208,0.54761,0.92452,1.01114,0.92298,0.0004984,0.0004984,0.0004984
78,85.2166,0.31344,0.44686,0.75508,0.59884,0.80887,0.80945,0.5551,0.89077,0.99272,0.91202,0.0004918,0.0004918,0.0004918
79,86.2031,0.26784,0.42634,0.74498,0.70282,0.80547,0.8327,0.58839,0.85836,0.97304,0.90236,0.0004852,0.0004852,0.0004852
